Mode,Bytes,MiB,Time(s),CPU(%),Throughput(MiB/s)
EVP,16777216,16,0.03,67,650.05
AF_ALG,16777216,16,0.03,100,535.56
PURE,16777216,16,7.15,100,2.24
EVP,33554432,32,0.03,100,1077.57
AF_ALG,33554432,32,0.04,100,780.98
PURE,33554432,32,14.22,100,2.25
EVP,67108864,64,0.07,86,1117.90
AF_ALG,67108864,64,0.09,100,782.87
PURE,67108864,64,28.44,100,2.25
EVP,134217728,128,0.14,100,1138.97
AF_ALG,134217728,128,0.19,100,788.89
PURE,134217728,128,56.92,100,2.25
EVP,268435456,256,0.28,96,1146.20
AF_ALG,268435456,256,0.38,97,791.43
PURE,268435456,256,113.8,100,2.25
