Running accelerated SHA benchmark on random buffers...
algo,size_bytes,trial,mbps
sha1,1024,1,577.511
sha256,1024,1,139.197
sha1,1024,2,1086.905
sha256,1024,2,153.918
sha1,1024,3,1058.261
sha256,1024,3,152.070
sha1,1024,4,1105.981
sha256,1024,4,154.730
sha1,1024,5,1125.739
sha256,1024,5,155.328
sha1,8192,1,4446.133
sha256,8192,1,188.564
sha1,8192,2,4462.785
sha256,8192,2,188.744
sha1,8192,3,4513.809
sha256,8192,3,189.218
sha1,8192,4,4502.645
sha256,8192,4,188.936
sha1,8192,5,4519.724
sha256,8192,5,188.654
sha1,65536,1,6800.721
sha256,65536,1,194.195
sha1,65536,2,7048.018
sha256,65536,2,193.395
sha1,65536,3,7143.959
sha256,65536,3,194.273
sha1,65536,4,7126.092
sha256,65536,4,194.159
sha1,65536,5,7136.763
sha256,65536,5,194.511
sha1,1048576,1,10962.878
sha256,1048576,1,274.832
sha1,1048576,2,11008.166
sha256,1048576,2,273.695
sha1,1048576,3,11048.181
sha256,1048576,3,274.715
sha1,1048576,4,11029.356
sha256,1048576,4,274.867
sha1,1048576,5,11051.413
sha256,1048576,5,274.738
