algo,size_bytes,trial,mbps
sha1,1024,1,698.797
sha256,1024,1,193.770
sha1,1024,2,1499.542
sha256,1024,2,217.271
sha1,1024,3,1509.768
sha256,1024,3,216.743
sha1,1024,4,1541.298
sha256,1024,4,217.919
sha1,1024,5,1541.298
sha256,1024,5,218.996
sha1,8192,1,5947.545
sha256,8192,1,269.429
sha1,8192,2,6252.242
sha256,8192,2,270.253
sha1,8192,3,6133.458
sha256,8192,3,268.857
sha1,8192,4,6209.000
sha256,8192,4,269.552
sha1,8192,5,6308.211
sha256,8192,5,269.552
sha1,65536,1,9983.015
sha256,65536,1,277.063
sha1,65536,2,9979.405
sha256,65536,2,277.282
sha1,65536,3,8886.237
sha256,65536,3,277.497
sha1,65536,4,9850.964
sha256,65536,4,276.840
sha1,65536,5,10000.534
sha256,65536,5,276.330
sha1,1048576,1,10907.981
sha256,1048576,1,277.660
sha1,1048576,2,10747.764
sha256,1048576,2,277.712
sha1,1048576,3,10994.273
sha256,1048576,3,277.775
sha1,1048576,4,11051.675
sha256,1048576,4,278.056
sha1,1048576,5,10982.815
sha256,1048576,5,278.117
