Running software SHA benchmark on random buffers...
algo,size_bytes,trial,mbps
sha1,1024,1,600.234
sha256,1024,1,147.654
sha1,1024,2,1164.132
sha256,1024,2,163.356
sha1,1024,3,1189.142
sha256,1024,3,162.756
sha1,1024,4,1198.888
sha256,1024,4,163.113
sha1,1024,5,1189.142
sha256,1024,5,164.389
sha1,8192,1,4632.174
sha256,8192,1,200.281
sha1,8192,2,4763.137
sha256,8192,2,201.673
sha1,8192,3,4724.677
sha256,8192,3,193.883
sha1,8192,4,4650.252
sha256,8192,4,200.632
sha1,8192,5,4814.929
sha256,8192,5,198.061
sha1,65536,1,7594.415
sha256,65536,1,206.382
sha1,65536,2,10014.670
sha256,65536,2,275.534
sha1,65536,3,9833.780
sha256,65536,3,274.502
sha1,65536,4,10086.147
sha256,65536,4,275.477
sha1,65536,5,10122.172
sha256,65536,5,274.964
sha1,1048576,1,11055.447
sha256,1048576,1,275.851
sha1,1048576,2,11036.597
sha256,1048576,2,275.697
sha1,1048576,3,10932.717
sha256,1048576,3,275.919
sha1,1048576,4,11050.597
sha256,1048576,4,275.833
sha1,1048576,5,11053.830
sha256,1048576,5,277.346
