ts,role,fps,goodput_mbps,latency_ms_p50,latency_ms_p95,cpu_pct,mem_mb,temp_c,drops,tag_fail
1761978712.688595030Z,sender,8.00,0.33,NaN,NaN,11.0,636.1,62.8,0,0
1761978712.688604548Z,receiver,8.00,0.33,0.00,0.00,11.0,636.1,62.8,0,0
1761978712.939039820Z,receiver,12.00,1.43,0.00,0.20,5.1,667.9,63.3,0,0
1761978712.939156561Z,sender,12.00,1.43,NaN,NaN,5.1,667.9,63.3,0,0
1761978713.189445461Z,receiver,16.00,2.02,0.09,0.60,9.0,668.3,61.7,0,0
1761978713.189598591Z,sender,16.00,2.02,NaN,NaN,9.0,668.3,61.7,0,0
1761978713.439929196Z,sender,16.00,1.26,NaN,NaN,5.2,672.3,62.8,0,0
1761978713.440015603Z,receiver,16.00,1.26,0.05,0.60,5.2,672.3,62.8,0,0
1761978713.690498338Z,receiver,16.00,1.29,0.09,0.60,7.0,672.5,63.3,0,0
1761978713.690541579Z,sender,16.00,1.29,NaN,NaN,7.0,672.5,63.3,0,0
1761978713.941013720Z,receiver,12.00,0.91,0.12,0.60,5.9,672.8,62.2,0,0
1761978713.941109628Z,sender,12.00,0.91,NaN,NaN,5.9,672.8,62.2,0,0
1761978714.191409177Z,receiver,16.00,1.17,0.10,0.56,5.1,673.0,62.8,0,0
1761978714.191487973Z,sender,16.00,1.17,NaN,NaN,5.1,673.0,62.8,0,0
1761978714.442014097Z,sender,16.00,1.27,NaN,NaN,6.0,673.0,63.3,0,0
1761978714.441944300Z,receiver,16.00,1.27,0.12,0.56,6.0,673.0,63.3,0,0
1761978714.692427849Z,sender,16.00,1.27,NaN,NaN,7.9,673.0,61.7,0,0
1761978714.692529294Z,receiver,16.00,1.27,0.11,0.56,7.9,673.0,61.7,0,0
1761978714.942952436Z,receiver,12.00,1.31,0.12,0.56,4.1,673.0,62.8,0,0
1761978714.943128770Z,sender,12.00,1.31,NaN,NaN,4.1,673.0,62.8,0,0
1761978715.193412411Z,receiver,16.00,1.24,0.12,0.56,6.9,673.2,61.2,0,0
1761978715.193505207Z,sender,16.00,1.24,NaN,NaN,6.9,673.2,61.2,0,0
1761978715.443918682Z,sender,16.00,1.15,NaN,NaN,7.0,672.1,62.2,0,0
1761978715.443921923Z,receiver,16.00,1.15,0.12,0.44,7.0,672.1,62.2,0,0
1761978715.694295935Z,sender,16.00,1.30,NaN,NaN,7.0,672.1,62.8,0,0
1761978715.694405380Z,receiver,16.00,1.30,0.12,0.44,7.0,672.1,62.8,0,0
1761978715.944680558Z,sender,12.00,0.92,NaN,NaN,7.0,672.3,62.8,0,0
1761978715.944757299Z,receiver,12.00,0.92,0.12,0.44,7.0,672.3,62.8,0,0
1761978716.195152978Z,receiver,16.00,1.21,0.12,0.44,5.1,667.6,63.3,0,0
1761978716.195152681Z,sender,16.00,1.21,NaN,NaN,5.1,667.6,63.3,0,0
1761978716.445579342Z,receiver,16.00,1.29,0.12,0.44,7.0,668.5,62.8,0,0
1761978716.445587527Z,sender,16.00,1.29,NaN,NaN,7.0,668.5,62.8,0,0
1761978716.696011372Z,receiver,16.00,1.24,0.12,0.39,6.1,669.2,62.8,0,0
1761978716.696013539Z,sender,16.00,1.24,NaN,NaN,6.1,669.2,62.8,0,0
1761978716.946477699Z,sender,16.00,1.26,NaN,NaN,5.1,669.2,62.8,0,0
1761978716.946481718Z,receiver,16.00,1.26,0.12,0.39,5.1,669.2,62.8,0,0
1761978717.196937878Z,sender,12.00,0.92,NaN,NaN,4.1,666.1,62.8,0,0
1761978717.196942360Z,receiver,12.00,0.92,0.12,0.39,4.1,666.1,62.8,0,0
1761978717.447396557Z,sender,16.00,1.30,NaN,NaN,6.1,664.9,62.8,0,0
1761978717.447418039Z,receiver,16.00,1.30,0.13,0.39,6.1,664.9,62.8,0,0
1761978717.697859995Z,sender,16.00,1.27,NaN,NaN,6.9,666.1,63.3,0,0
1761978717.697883199Z,receiver,16.00,1.27,0.13,0.39,6.9,666.1,63.3,0,0
1761978717.948339915Z,sender,16.00,1.24,NaN,NaN,7.0,666.1,63.3,0,0
1761978717.948356600Z,receiver,16.00,1.24,0.13,0.33,7.0,666.1,63.3,0,0
1761978718.198822520Z,sender,12.00,1.01,NaN,NaN,3.1,663.8,63.3,0,0
1761978718.198829779Z,receiver,12.00,1.01,0.14,0.33,3.1,663.8,63.3,0,0
1761978718.449262736Z,sender,16.00,1.15,NaN,NaN,6.9,662.9,62.8,0,0
1761978718.449273273Z,receiver,16.00,1.15,0.14,0.33,6.9,662.9,62.8,0,0
1761978718.699691155Z,receiver,16.00,1.39,0.14,0.33,5.1,662.9,62.8,0,0
1761978718.699697618Z,sender,16.00,1.39,NaN,NaN,5.1,662.9,62.8,0,0
1761978718.950380187Z,receiver,16.00,1.25,0.15,0.33,7.9,662.9,63.3,0,0
