ts,role,fps,goodput_mbps,latency_ms_p50,latency_ms_p95,cpu_pct,mem_mb,temp_c,drops,tag_fail
1761978795.015821517Z,receiver,4.00,0.27,13.15,13.15,11.1,632.2,62.8,0,0
1761978795.029466839Z,sender,8.00,0.36,NaN,NaN,11.9,633.8,63.3,0,0
1761978795.266104273Z,receiver,16.00,1.36,13.15,13.43,8.0,677.2,61.7,0,0
1761978795.279787558Z,sender,12.00,1.26,NaN,NaN,6.0,677.2,63.3,0,0
1761978795.516391991Z,receiver,16.00,2.09,13.20,13.89,7.0,681.6,62.8,0,0
1761978795.530086702Z,sender,16.00,2.09,NaN,NaN,7.1,681.6,63.3,0,0
1761978795.766677747Z,receiver,16.00,1.25,13.20,13.89,6.1,681.6,63.3,0,0
1761978795.780384977Z,sender,16.00,1.25,NaN,NaN,6.0,681.6,62.2,0,0
1761978796.016963651Z,receiver,12.00,0.91,13.20,13.89,3.0,681.9,61.7,0,0
1761978796.031030789Z,sender,16.00,1.22,NaN,NaN,5.1,681.9,63.3,0,0
1761978796.267246999Z,receiver,16.00,1.33,13.20,13.89,8.7,681.9,62.8,0,0
1761978796.281391564Z,sender,12.00,1.02,NaN,NaN,6.9,681.9,62.8,0,0
1761978796.517532070Z,receiver,16.00,1.29,13.20,13.51,6.9,682.1,63.3,0,0
1761978796.531693227Z,sender,16.00,1.29,NaN,NaN,6.9,682.1,63.3,0,0
1761978796.767817640Z,receiver,16.00,1.23,13.19,13.51,4.1,682.3,63.9,0,0
1761978796.781987927Z,sender,16.00,1.23,NaN,NaN,4.1,682.3,62.8,0,0
1761978797.018108341Z,receiver,12.00,1.63,13.19,13.89,5.9,682.7,63.3,0,0
1761978797.032387739Z,sender,16.00,1.65,NaN,NaN,7.8,682.7,62.8,0,0
1761978797.268392133Z,receiver,16.00,0.67,13.19,13.89,5.0,681.6,63.3,0,0
1761978797.282693254Z,sender,12.00,0.65,NaN,NaN,3.0,681.6,62.8,0,0
1761978797.518681611Z,receiver,16.00,1.20,13.19,13.89,6.9,681.6,63.3,0,0
1761978797.532987195Z,sender,16.00,1.20,NaN,NaN,6.9,681.6,63.3,0,0
