value,count
0,417
1,392
2,362
3,371
4,404
5,380
6,375
7,391
8,348
9,405
10,402
11,388
12,394
13,383
14,407
15,407
16,411
17,398
18,369
19,389
20,389
21,386
22,418
23,343
24,379
25,360
26,375
27,381
28,377
29,440
30,395
31,410
32,370
33,400
34,428
35,380
36,408
37,420
38,389
39,395
40,412
41,403
42,402
43,432
44,354
45,362
46,403
47,370
48,420
49,363
50,379
51,383
52,402
53,373
54,418
55,373
56,376
57,417
58,398
59,412
60,406
61,393
62,358
63,365
64,412
65,396
66,385
67,387
68,376
69,386
70,404
71,403
72,418
73,412
74,394
75,389
76,365
77,406
78,349
79,368
80,385
81,390
82,421
83,388
84,396
85,394
86,376
87,414
88,385
89,359
90,401
91,379
92,354
93,372
94,398
95,389
96,426
97,357
98,391
99,391
100,382
101,370
102,389
103,394
104,375
105,392
106,387
107,353
108,389
109,418
110,424
111,378
112,427
113,394
114,360
115,366
116,372
117,389
118,392
119,369
120,378
121,411
122,413
123,370
124,384
125,388
126,347
127,404
128,404
129,412
130,396
131,408
132,385
133,430
134,400
135,404
136,389
137,366
138,385
139,375
140,379
141,388
142,365
143,383
144,381
145,389
146,404
147,373
148,391
149,390
150,391
151,389
152,422
153,395
154,411
155,406
156,393
157,431
158,383
159,404
160,382
161,401
162,373
163,357
164,412
165,366
166,369
167,383
168,379
169,347
170,352
171,376
172,385
173,398
174,433
175,429
176,398
177,386
178,399
179,401
180,426
181,390
182,386
183,394
184,426
185,371
186,364
187,378
188,385
189,354
190,412
191,427
192,369
193,371
194,365
195,434
196,384
197,402
198,371
199,380
200,399
201,368
202,404
203,393
204,395
205,398
206,395
207,383
208,400
209,395
210,354
211,388
212,424
213,422
214,381
215,362
216,401
217,403
218,379
219,385
220,395
221,406
222,392
223,378
224,390
225,393
226,381
227,399
228,421
229,374
230,394
231,380
232,372
233,418
234,415
235,381
236,417
237,388
238,362
239,370
240,412
241,387
242,401
243,384
244,416
245,392
246,409
247,389
248,399
249,430
250,386
251,390
252,363
253,437
254,380
255,392
