ts,Vsend,Asend,Wsend,Vreceive,Areceive,Wreceive
0,5.03225,0.833,4.19176,5.10875,0.59885,3.05938
5,5.02837,0.85135,4.28091,5.10875,0.6075,3.10357
10,5.01687,0.89825,4.50641,5.10875,0.5809,2.96767
15,5.02594,0.8706,4.33477,5.10875,0.58652,2.98709
20,5.02212,0.9076,4.53442,5.10875,0.60123,3.0876
25,5.02225,0.8364,4.4505,5.10875,0.60495,3.08964
30,5.03625,0.80845,4.07156,5.10875,0.579,2.95797
40,5.03556,0.81738,4.12092,5.10875,0.57823,2.94501
50,5.03625,0.81,4.07836,5.10875,0.61455,3.13957
60,5.03737,0.81047,4.0836,5.10875,0.59845,3.05733
70,5.03525,0.81143,4.08593,5.10875,0.58555,2.99143
80,5.03156,0.864,4.347,5.10875,0.58785,3.01347
90,5.03175,0.82855,4.16906,5.10875,0.59978,3.0133
100,5.02731,0.85335,4.28834,5.10875,0.61945,3.16461
110,5.03337,0.8242,4.14866,5.10875,0.6113,3.12298
120,5.02812,0.8444,4.24575,5.10875,0.61875,3.16104
130,5.0325,0.829,4.19275,5.10875,0.58902,3.00088
135,5.03175,0.82588,4.15653,5.10875,0.61103,3.12157
140,5.02225,0.87747,4.40602,5.10875,0.59085,3.0185
145,5.02981,0.85235,4.28642,5.10938,0.5798,2.96242
150,5.01531,0.9111,4.56945,5.10787,0.744,3.79951
155,5.01044,0.93125,4.66585,5.1075,0.70255,3.58827
160,5.01312,0.9263,4.65218,5.1075,0.702,3.5856
165,5.01244,0.92093,4.61822,5.1075,0.70765,3.61432
170,5.01206,0.92385,4.63039,5.10625,0.76202,3.88892
175,5.01088,0.9362,4.69118,5.10644,0.75135,3.83667
180,5.01188,0.92558,4.63686,5.10687,0.73875,3.7727
185,5.0115,0.92937,4.6612,5.1075,0.7208,3.68149
190,5.01171,0.9249,4.635,5.1065,0.7375,3.76609
195,5.01306,0.92213,4.62267,5.10625,0.7438,3.80952
200,5.01169,0.9256,4.63882,5.1075,0.72207,3.69817
205,5.1188,0.926,4.641,5.10644,0.72452,3.6943
210,5.035,0.81478,4.10214,5.10806,0.62298,3.1822
215,5.03419,0.8156,4.10672,5.10806,0.62718,3.20365
220,5.035,0.81265,4.0927,5.10875,0.61335,3.13345
