X,Y
133,216
152,123
138,164
169,139
238,111
9,169
243,66
89,172
47,195
57,94
20,162
140,167
107,200
146,93
71,9
192,192
119,79
253,115
129,179
176,139
120,240
215,163
70,19
198,249
142,242
156,191
184,146
209,137
201,47
153,137
169,19
19,190
125,210
3,11
64,232
199,70
40,165
108,58
156,205
101,219
248,62
27,48
96,34
127,9
39,217
63,184
26,172
6,174
89,159
77,158
235,90
43,225
143,124
214,187
67,70
153,229
92,249
95,171
85,184
63,116
80,60
139,91
96,232
218,10
249,42
134,72
170,218
123,121
184,184
52,86
58,185
118,157
148,30
235,50
17,47
61,137
120,227
181,217
171,18
253,127
183,55
240,215
212,137
60,92
230,219
211,246
53,67
113,163
8,249
27,241
155,216
18,166
191,110
28,69
26,11
123,203
164,200
12,92
178,78
243,114
137,58
93,186
254,227
146,215
192,10
130,11
42,67
147,31
253,127
3,95
64,192
146,201
184,248
196,100
18,188
153,78
58,232
104,71
9,66
11,251
81,173
26,232
99,127
127,159
114,10
155,252
56,89
220,115
238,227
132,6
177,130
132,192
151,235
189,185
79,67
36,28
133,18
160,110
142,243
165,246
45,216
142,88
56,224
103,30
88,102
130,254
193,30
108,110
245,146
250,214
35,172
96,212
168,123
204,125
238,242
27,53
193,219
104,214
123,75
36,5
43,120
14,128
139,239
21,54
165,50
171,112
197,77
190,161
21,146
105,96
31,40
105,121
132,100
61,39
231,125
194,219
64,235
113,237
227,101
35,118
122,230
98,155
181,145
162,38
196,189
97,38
86,88
235,99
161,68
214,194
71,235
37,141
31,53
25,172
196,33
120,33
157,87
15,189
172,212
1,250
63,116
113,47
116,55
240,225
253,232
218,206
80,89
118,119
134,19
93,15
137,73
3,175
182,71
170,210
163,2
62,155
17,177
153,129
200,56
178,202
210,77
242,98
105,255
181,113
163,156
243,8
15,98
81,75
188,88
205,233
34,31
50,59
106,236
189,190
36,101
152,52
142,119
141,22
208,189
230,252
188,51
235,238
96,42
114,40
152,93
201,30
36,45
225,66
23,82
85,231
93,23
230,155
81,237
90,74
171,192
238,161
11,156
31,120
17,105
246,176
136,30
218,235
111,17
27,111
240,210
245,45
131,212
101,91
86,138
119,152
65,118
138,51
97,213
104,213
209,246
222,209
149,155
193,198
30,17
72,80
19,94
16,200
81,252
136,135
61,16
144,120
101,253
126,197
192,171
210,12
29,139
0,135
57,26
53,96
153,204
195,64
239,75
42,70
83,129
185,75
1,208
41,62
60,124
62,116
247,116
115,43
167,118
98,14
215,165
101,103
201,195
15,204
120,245
158,126
191,21
16,115
201,246
137,156
131,139
230,240
233,195
42,254
250,173
65,249
239,238
134,71
45,202
57,105
19,21
55,78
183,222
154,91
58,169
248,140
105,47
152,196
214,71
70,81
58,159
47,158
149,159
166,108
78,78
16,173
13,245
154,208
33,128
135,214
82,59
114,19
36,92
86,14
75,45
121,119
29,31
58,70
75,224
254,26
193,58
130,69
19,11
14,15
109,63
32,202
182,162
21,243
175,138
48,11
122,177
126,188
57,20
39,108
208,84
127,211
65,31
188,107
71,187
252,104
35,171
156,104
118,102
71,36
236,164
202,124
108,251
47,44
240,73
7,132
231,230
135,247
152,251
119,213
102,240
35,96
201,234
137,56
47,231
95,73
76,29
16,149
124,215
224,169
130,203
194,108
43,203
18,2
233,10
234,141
23,45
38,6
28,101
150,147
231,104
80,158
223,252
248,184
8,1
242,3
204,81
201,196
171,16
112,65
40,136
236,107
181,163
108,110
121,124
76,107
156,181
55,123
226,40
151,131
135,79
231,23
52,8
254,185
148,232
118,127
65,104
77,223
45,0
59,210
198,113
38,21
102,47
59,33
110,86
94,18
20,19
131,62
224,65
205,131
23,209
26,9
185,228
203,89
25,120
79,144
118,154
127,99
42,29
46,66
97,90
86,225
210,144
109,144
128,168
123,177
40,233
72,37
154,49
121,82
81,31
81,173
17,158
50,40
188,4
144,125
91,135
178,95
84,56
173,16
170,153
250,118
206,48
45,200
172,178
236,111
169,244
111,157
122,166
205,58
33,92
178,2
153,36
224,138
94,11
100,72
48,255
21,248
223,99
159,98
57,127
228,169
91,248
125,71
214,47
36,83
197,69
182,55
97,10
247,45
12,71
120,186
179,25
4,160
10,50
2,37
187,28
181,184
165,190
165,220
248,232
139,23
197,147
6,104
186,46
1,7
238,239
11,248
171,37
165,122
219,9
86,232
204,65
42,247
118,177
226,231
24,63
247,119
3,136
220,176
241,65
193,231
193,183
250,86
252,24
64,106
8,1
103,200
11,244
153,254
15,195
102,210
209,106
96,17
226,189
193,3
129,105
210,26
173,36
124,59
233,195
234,28
98,180
201,209
12,172
125,195
68,234
158,69
124,132
98,157
251,167
21,61
15,48
94,93
2,55
198,154
195,171
79,100
104,123
0,190
183,64
136,133
60,100
210,153
148,56
47,242
227,153
159,66
210,127
217,200
77,91
206,250
160,177
183,129
13,130
206,83
143,241
23,237
7,136
143,223
231,8
76,30
49,47
223,23
218,242
192,124
110,237
0,118
78,11
190,170
9,187
86,117
64,26
189,101
71,57
47,86
0,99
205,23
181,229
114,182
71,11
200,64
83,145
233,112
241,81
147,40
183,72
201,51
127,107
136,246
236,84
26,8
56,78
121,69
148,146
116,3
255,240
227,200
56,237
219,57
32,193
35,221
116,176
239,245
226,17
91,57
222,11
6,111
201,238
153,215
196,251
46,195
235,179
22,5
174,188
245,6
140,149
137,127
149,151
115,102
127,187
7,30
103,226
244,128
211,239
105,121
186,152
24,72
150,153
7,40
75,95
209,43
196,43
216,117
152,79
96,252
2,68
91,135
224,174
222,203
217,156
223,218
121,192
199,128
21,118
108,1
219,244
201,138
91,102
150,123
6,159
38,14
65,234
151,210
24,77
191,210
176,189
183,176
44,161
10,211
72,9
60,246
144,242
34,138
61,227
127,222
86,47
58,164
164,1
224,234
168,81
33,25
97,228
64,125
180,125
187,250
225,81
95,124
53,26
59,250
160,196
36,151
188,235
244,92
91,217
229,231
169,35
1,165
99,161
203,189
133,101
242,131
184,80
105,183
13,198
80,74
201,237
253,123
114,109
3,223
6,253
81,91
241,235
189,15
202,241
55,172
44,9
168,130
12,92
205,58
148,222
5,66
203,80
122,251
126,178
141,123
173,170
1,179
86,201
112,129
148,225
221,12
187,116
185,44
118,24
167,198
70,216
62,244
90,46
146,136
78,97
105,71
20,167
185,129
52,113
216,192
63,15
232,51
160,40
91,73
5,166
79,6
233,64
99,51
113,46
71,113
240,153
32,196
232,172
116,21
115,92
234,235
95,119
85,230
64,195
204,71
78,141
121,152
161,207
198,44
166,250
119,150
124,68
186,47
37,183
192,98
172,129
159,146
108,177
55,226
94,121
189,182
138,118
242,68
3,191
162,221
148,216
247,145
83,139
240,97
200,240
65,146
242,27
239,212
138,18
17,159
118,16
221,170
109,124
198,207
138,138
50,109
23,37
244,230
117,217
49,146
134,227
152,15
18,163
109,211
5,72
179,79
101,20
43,122
180,162
160,169
241,194
155,208
213,43
211,225
29,139
170,78
28,104
175,225
199,24
11,176
44,238
14,167
113,92
78,110
225,196
81,138
76,40
178,45
52,251
99,45
22,48
4,103
48,183
185,81
255,83
219,16
189,128
235,222
186,83
136,251
155,184
34,116
49,141
227,170
9,140
42,251
120,72
159,216
200,63
53,154
102,8
115,136
231,29
8,14
226,116
164,183
72,171
198,173
34,116
200,206
180,176
212,144
124,232
53,64
0,38
117,182
209,5
83,192
226,74
138,188
126,121
97,92
121,66
212,160
17,82
212,193
212,80
250,3
150,160
201,109
56,26
52,107
221,199
46,185
164,207
121,199
134,44
182,150
35,208
253,81
216,159
157,82
15,85
89,6
197,0
254,109
77,59
39,159
121,136
139,100
207,178
91,136
155,87
182,88
217,214
227,96
9,69
5,150
133,108
161,117
191,35
200,194
110,181
105,2
98,162
25,119
59,40
198,39
103,46
39,140
113,224
95,75
28,66
92,243
149,155
209,16
151,150
142,165
69,135
44,60
114,185
162,71
219,62
81,117
76,165
189,241
140,166
90,154
71,184
110,82
166,218
83,81
98,84
13,42
52,0
108,37
122,244
211,185
38,241
168,165
46,243
171,74
65,108
104,148
19,160
203,145
54,117
19,228
207,180
248,118
172,151
53,234
149,118
51,108
145,151
223,42
139,159
196,27
198,194
229,247
163,16
211,190
24,97
35,83
88,99
223,77
145,27
94,211
38,180
26,58
180,187
197,155
128,81
255,239
246,126
135,72
