Rekey Start Time (since epoch),End Time,Rekey Time (ms),Rekey Mechanism,Bytes Transmitted,Bytes Received
1761979717719,1761979717725,6,ECDH,65,65
1761979721745,1761979721745,0,ECDH,65,65
1761979725299,1761979725299,0,ECDH,65,65
1761979728855,1761979728856,0,ECDH,65,65
1761979732438,1761979732438,0,ECDH,65,65
1761979736014,1761979736015,0,ECDH,65,65
1761979739584,1761979739585,0,ECDH,65,65
1761979743169,1761979743170,0,ECDH,65,65
1761979744611,1761979744611,0,ECDH,65,65
1761979748159,1761979748159,0,ECDH,65,65
1761979751724,1761979751724,0,ECDH,65,65
1761979755294,1761979755295,0,ECDH,65,65
