Time(s),V,I,W,J
1,5.12,1.09,5.5808,5.5808
2,5.12,1.09,5.5808,5.5808
3,5.12,1.06,5.4272,5.4272
4,5.12,1.06,5.4272,5.4272
5,5.12,1.06,5.4272,5.4272
6,5.12,1.06,5.4272,5.4272
7,5.12,1.05,5.376,5.376
8,5.13,1.05,5.3865,5.3865
9,5.13,1.07,5.4891,5.4891
10,5.12,1.07,5.4784,5.4784
11,5.12,1.04,5.3248,5.3248
12,5.12,1.04,5.3248,5.3248
13,5.12,1.04,5.3248,5.3248
14,5.12,1.04,5.3248,5.3248
15,5.12,1.03,5.2736,5.2736
16,5.12,1.03,5.2736,5.2736
17,5.12,1.03,5.2736,5.2736
18,5.12,1.03,5.2736,5.2736
19,5.12,1.07,5.4784,5.4784
20,5.12,1.07,5.4784,5.4784
21,5.12,1.06,5.4272,5.4272
22,5.12,1.06,5.4272,5.4272
23,5.12,1.08,5.5296,5.5296
24,5.11,1.08,5.5188,5.5188
25,5.11,1.09,5.5699,5.5699
26,5.13,1.09,5.5917,5.5917
27,5.13,1.09,5.5917,5.5917
28,5.13,1.06,5.4378,5.4378
29,5.12,1.06,5.4272,5.4272
30,5.12,1.04,5.3248,5.3248
31,5.12,1.04,5.3248,5.3248
32,5.12,1.06,5.4272,5.4272
33,5.12,1.06,5.4272,5.4272
34,5.12,1.04,5.3248,5.3248
35,5.12,1.04,5.3248,5.3248
36,5.12,1.08,5.5296,5.5296
37,5.13,1.08,5.5404,5.5404
38,5.13,1.03,5.2839,5.2839
39,5.11,1.03,5.2633,5.2633
40,5.11,1.02,5.2122,5.2122
41,5.12,1.07,5.4784,5.4784
42,5.12,1.08,5.5296,5.5296
43,5.12,1.06,5.4272,5.4272
44,5.12,1.11,5.6832,5.6832
45,5.12,1.11,5.6832,5.6832
46,5.12,1.11,5.6832,5.6832
47,5.12,1.05,5.376,5.376
48,5.12,1.05,5.376,5.376
49,5.12,1.05,5.376,5.376
50,5.14,1.05,5.397,5.397
51,5.14,1.09,5.6026,5.6026
52,5.11,1.09,5.5699,5.5699
53,5.11,1.07,5.4677,5.4677
54,5.12,1.07,5.4784,5.4784
55,5.12,1.11,5.6832,5.6832
56,5.12,1.11,5.6832,5.6832
57,5.12,1.11,5.6832,5.6832
58,5.12,1.03,5.2736,5.2736
59,5.12,1.03,5.2736,5.2736
60,5.12,1.09,5.5808,5.5808
