| ts_start                 | ts_end                   | duration_ms | mech | bytes_tx | bytes_rx | cpu_avg | mem_mb | energy_j |
| ------------------------ | ------------------------ | ----------: | ---- | -------: | -------: | ------: | -----: | -------: |
| 2025-11-01T06:33:55.101Z | 2025-11-01T06:33:55.101Z |      212.44 | RSA  |      280 |      256 |    1.62 | 602.32 |   0.0112 |
| 2025-11-01T06:33:55.097Z | 2025-11-01T06:33:55.097Z |      207.18 | RSA  |      256 |        0 |    1.54 | 597.88 |   0.0106 |
| 2025-11-01T06:35:42.310Z | 2025-11-01T06:35:42.310Z |      553.71 | RSA  |      256 |        0 |    2.83 | 610.45 |   0.0298 |
| 2025-11-01T06:35:42.315Z | 2025-11-01T06:35:42.315Z |      559.49 | RSA  |      280 |      256 |    2.91 | 610.40 |   0.0306 |
| 2025-11-01T06:36:26.982Z | 2025-11-01T06:36:26.982Z |      558.40 | RSA  |      256 |        0 |    2.76 | 606.12 |   0.0295 |
| 2025-11-01T06:36:26.987Z | 2025-11-01T06:36:26.987Z |      564.32 | RSA  |      280 |      256 |    2.88 | 602.09 |   0.0303 |
| 2025-11-01T07:35:10.487Z | 2025-11-01T07:35:10.487Z |      621.07 | RSA  |      280 |      256 |    3.15 | 611.92 |   0.0331 |
| 2025-11-01T07:35:10.482Z | 2025-11-01T07:35:10.482Z |      615.80 | RSA  |      256 |        0 |    3.08 | 615.44 |   0.0323 |
| 2025-11-01T23:08:11.504Z | 2025-11-01T23:08:11.504Z |      639.94 | RSA  |      256 |        0 |    3.44 | 556.80 |   0.0349 |
| 2025-11-01T23:23:31.288Z | 2025-11-01T23:23:31.288Z |      371.22 | RSA  |      256 |        0 |    2.17 | 569.50 |   0.0201 |
