Transmit Start Time (since epoch as ms),Throughput (bytes per second),Latency (ms),Frames per Second,CPU Usage (%),Memory Used (bytes)
1761980060000,4187.6384,490,,0.833044,5403546872
1761980060000,1225.2601,548,,0.834987,5393201308
1761980060000,889.8686,548,,0.838342,5383538197
1761980060000,98362.1559,509,,0.841046,5387498852
1761980060000,8974.7055,494,,0.841005,5410764311
1761980060000,3875.6008,531,,0.835117,5415982208
1761980060000,4081.2553,548,,0.843505,5406018785
1761980060000,2573.6522,564,,0.834419,5486425455
1761980060000,3121.4549,633,,0.843626,5479743937
1761980060000,2568.4306,666,,0.842569,5485335857
1761980060000,2463.8657,677,,0.842657,5512912759
1761980060000,1867.2607,693,,0.843476,5496355598
1761980060000,1668.3642,752,,0.843482,5498785132
1761980060000,1189.694,803,,0.840653,5511962957
1761980060000,1259.7027,844,,0.837622,5511348470
1761980060000,1286.2325,861,,0.839819,5516532462
1761980060000,815.3186,876,,0.843829,5514710728
1761980060000,692.4473,901,,0.831737,5510648360
1761980060000,697.7883,919,,0.838622,5509443498
1761980060000,544.9921,951,,0.844737,5511005573
1761980060000,628.3817,1020,,0.833923,5510288038
1761980060000,580.0535,1000,,0.835143,5509278983
1761980060000,597.4302,1049,,0.836498,5505619062
1761980060000,699.6729,1050,36.76,0.842881,5510591573
1761980060000,764.0182,1103,37.33,0.843396,5509967090
1761980060000,829.4468,1172,36.69,0.836156,5512811252
1761980060000,744.5114,1226,37.52,0.837543,5515319363
1761980060000,623.3224,1202,36.55,0.844424,5513322946
1761980061000,3321.4416,302,36.84,0.838217,5516145066
1761980061000,2590.0291,312,36.93,0.839285,5513159495
1761980061000,2435.0281,362,36.64,0.833467,5511148361
1761980061000,2318.9046,398,36.74,0.838355,5508353241
1761980061000,2052.7697,476,36.85,0.840637,5510672194
1761980061000,1734.8534,468,36.8,0.835534,5509809332
1761980061000,2133.2271,456,36.73,0.84449,5511583280
1761980061000,1832.6325,476,36.93,0.839466,5508136434
1761980061000,2272.5246,543,36.8,0.843538,5510314372
1761980061000,2417.5145,583,36.75,0.839422,5510698596
1761980061000,2881.5359,603,36.8,0.840651,5509821981
1761980061000,2888.1169,666,32.82,0.842226,5511286262
1761980061000,2784.2607,644,32.87,0.834297,5512003800
1761980061000,3151.6673,709,33.06,0.840123,5512708309
1761980061000,2972.3078,751,32.86,0.839647,5511009664
1761980061000,2773.6353,763,32.96,0.841676,5511841989
1761980061000,2537.8192,813,33.16,0.837794,5512698059
1761980061000,2935.0747,812,33.22,0.839378,5512947869
1761980061000,2723.5082,828,33.25,0.843607,5511789454
1761980061000,2703.8158,904,33.0,0.84005,5512063908
1761980061000,2647.6688,928,33.09,0.840943,5510471549
1761980061000,2442.9368,985,33.14,0.844837,5511571374
1761980061000,2576.9414,1052,33.03,0.843297,5511763916
1761980061000,2614.7492,1047,33.27,0.841635,5511617967
1761980061000,2450.7605,1044,33.08,0.845664,5511185857
1761980061000,2180.1738,1102,29.72,0.835526,5511995511
1761980061000,2366.2093,1153,29.68,0.841232,5512860416
1761980061000,2109.9335,1192,29.83,0.840532,5513743492
1761980061000,1982.0867,1207,29.91,0.844393,5512931786
1761980061000,2033.8607,1240,29.62,0.84069,5512568938
1761980061000,1580.913,1299,29.66,0.839853,5520160280
1761980062000,6739.8922,362,29.84,0.841047,5520583768
1761980062000,7809.7861,400,29.77,0.839722,5521648676
1761980062000,5994.2512,418,29.62,0.839693,5519043360
1761980062000,4681.0245,469,29.87,0.834726,5515519653
1761980062000,3492.9908,469,29.88,0.839888,5515699883
1761980062000,2241.1279,506,29.73,0.833614,5513072806
1761980062000,1719.8283,555,29.74,0.844592,5514078179
1761980062000,1892.9911,610,29.8,0.836679,5514094560
1761980062000,2143.0845,633,29.72,0.837068,5516368415
1761980062000,1700.9539,615,28.77,0.840324,5515558774
1761980062000,1777.8761,662,28.9,0.842148,5515112265
1761980062000,1581.2336,710,28.76,0.839765,5514669857
1761980062000,1635.2412,760,28.96,0.843487,5515935795
1761980062000,1384.2724,782,28.87,0.834775,5515939890
1761980062000,1404.9438,802,28.9,0.843053,5517587895
1761980062000,1264.382,869,28.88,0.838385,5517600172
1761980062000,1201.0063,909,28.82,0.839283,5517272370
1761980062000,1145.4284,941,28.77,0.836673,5518351667
1761980062000,997.4418,939,28.79,0.843725,5518199574
1761980062000,1080.0221,1006,28.92,0.843883,5516312295
1761980062000,2563.2226,1015,28.9,0.845,5517291243
1761980062000,3034.8818,1061,28.75,0.838572,5515681635
1761980062000,2887.6141,1111,27.87,0.839671,5516997935
1761980062000,2343.1203,1164,27.92,0.838998,5518093665
1761980062000,2160.9745,1196,27.78,0.844107,5515112265
1761980062000,2119.7088,1258,27.84,0.842746,5516825060
1761980062000,2047.8066,1278,27.87,0.843693,5516079598
1761980062000,1936.2445,1317,27.88,0.838967,5517788308
1761980062000,2148.8589,1377,27.71,0.84254,5516722662
1761980063000,5517.1678,424,27.78,0.836642,5517444317
1761980063000,4132.9538,490,27.73,0.845,5517794520
1761980063000,2962.9555,526,27.61,0.847971,5516621149
1761980063000,48903.8033,517,27.66,0.84641,5518892912
1761980063000,2076.6081,556,27.62,0.844844,5518507688
1761980063000,2185.3869,600,27.73,0.840517,5517185027
1761980063000,2505.7173,634,27.85,0.842204,5516689415
1761980063000,2055.8961,688,27.77,0.848526,5515956234
1761980063000,1796.8207,707,27.63,0.846032,5517066336
1761980063000,1515.1619,738,27.52,0.839039,5519169121
1761980063000,1974.917,764,27.74,0.847271,5518222945
1761980063000,2242.1013,810,27.67,0.842086,5519106026
1761980063000,2532.8748,833,27.68,0.845546,5519224745
1761980063000,3096.4059,873,27.67,0.843092,5518917540
1761980063000,2892.4363,912,27.67,0.839219,5520401881
1761980063000,3344.8787,960,27.85,0.842229,5520152080
1761980063000,2967.6902,1008,27.79,0.844651,5518765452
1761980063000,2872.5759,1043,27.82,0.839088,5518253452
1761980063000,2526.7628,1071,27.67,0.839624,5516722662
1761980063000,2514.3204,1106,27.72,0.839698,5517283814
1761980063000,2157.8086,1133,28.41,0.846613,5518327180
1761980063000,1984.7684,1173,28.54,0.847679,5519117708
1761980063000,1522.0598,1220,28.41,0.847534,5518847366
1761980063000,1113.7805,1257,28.47,0.842832,5518785926
1761980063000,1019.1065,1289,28.34,0.844231,5518073222
1761980063000,915.0745,1324,28.49,0.8457,5518499807
1761980063000,890.9398,1368,28.54,0.843832,5518155741
1761980063000,759.0527,1405,28.49,0.842625,5518266339
1761980063000,660.0857,1434,28.45,0.848244,5518659856
1761980064000,3638.7439,470,28.48,0.848088,5517414662
1761980064000,4680.4018,504,28.33,0.847969,5516955906
1761980064000,4433.153,537,28.33,0.848728,5523812353
1761980064000,4698.6417,577,28.38,0.847674,5526422227
1761980064000,4520.3164,614,28.41,0.848846,5526696658
1761980064000,4712.3475,651,28.52,0.844759,5519820844
1761980064000,3900.1922,693,28.32,0.846619,5522833407
1761980064000,3560.4274,722,28.26,0.845396,5520785500
1761980064000,3272.8614,751,28.39,0.84762,5520285798
1761980064000,3586.9222,784,28.28,0.844576,5519058700
1761980064000,3706.732,818,28.23,0.848747,5518847366
1761980064000,3444.9953,853,28.44,0.842676,5519144716
1761980064000,3117.3592,884,28.23,0.848012,5518643475
1761980064000,3266.1651,930,28.31,0.843908,5518668052
1761980064000,3304.7438,965,28.18,0.847115,5520143937
1761980064000,2816.8324,1002,28.46,0.845588,5520217665
1761980064000,2272.2045,1048,28.19,0.842998,5518491648
1761980064000,1757.7711,1088,28.45,0.847006,5519328069
1761980064000,2144.0956,1113,28.2,0.848799,5518495744
1761980064000,2075.5409,1151,28.43,0.84518,5518892912
1761980064000,1546.6509,1188,28.21,0.846417,5520314466
1761980064000,2160.0606,1221,28.26,0.844401,5520396380
1761980064000,2483.9856,1266,28.38,0.846561,5520250431
1761980064000,2015.3128,1296,28.27,0.842707,5519512390
1761980064000,2121.4699,1330,28.24,0.843606,5518725960
1761980064000,1619.2337,1363,28.46,0.846329,5518843269
1761980064000,1696.6433,1399,28.52,0.846329,5519236786
1761980064000,1967.2108,1441,28.53,0.848998,5519507128
1761980064000,1692.3137,1476,28.53,0.846166,5519376050
1761980064000,1661.7605,1505,28.35,0.842803,5519396529
1761980065000,6080.9302,561,28.37,0.844926,5518380721
1761980065000,5213.7095,574,28.33,0.84691,5520152133
1761980065000,4586.0213,618,28.48,0.845501,5519372283
1761980065000,3806.9713,654,28.32,0.848699,5519032315
1761980065000,3622.9831,682,28.34,0.847644,5520242249
1761980065000,4711.8345,711,28.31,0.848434,5519122434
1761980065000,4234.6353,746,27.4,0.841091,5518438425
1761980065000,3859.8276,777,27.94,0.845791,5520426570
1761980065000,3470.2819,806,27.78,0.841161,5521131069
1761980065000,2986.3114,832,27.48,0.841176,5519836736
1761980065000,1917.0811,871,27.69,0.844226,5518241168
1761980065000,1638.9288,920,27.66,0.848405,5517266319
1761980065000,1492.3316,949,27.75,0.845133,5519368090
1761980065000,1518.4797,988,27.46,0.844792,5519163020
1761980065000,1520.6324,1017,27.72,0.845484,5516290825
1761980065000,1433.8998,1043,27.66,0.845676,5516819211
1761980065000,1310.6402,1088,27.76,0.843597,5517216825
1761980065000,1324.4589,1120,27.69,0.846416,5518187573
1761980065000,1172.6055,1162,27.66,0.841115,5518314549
1761980065000,1343.906,1190,27.49,0.848278,5518969909
1761980065000,1485.9323,1227,27.47,0.844641,5520111169
1761980065000,1356.292,1262,28.25,0.846033,5518584479
1761980065000,1424.2455,1291,28.27,0.846948,5519301279
1761980065000,1246.9474,1331,28.21,0.845713,5517401719
1761980065000,1171.9444,1378,28.29,0.848818,5518167193
1761980065000,1192.7813,1407,28.27,0.845399,5517582036
1761980065000,861.6103,1443,28.5,0.845892,5517713114
1761980065000,962.8129,1481,28.48,0.84419,5516132068
1761980065000,817.9971,1512,28.39,0.845598,5517205217
1761980065000,870.2293,1556,28.36,0.843319,5516689117
1761980065000,708.3184,1583,28.33,0.847534,5516209885
1761980066000,2388.5388,667,28.38,0.846079,5518978099
1761980066000,2563.8402,709,28.53,0.846639,5518416948
1761980066000,37167.9854,714,28.36,0.842008,5518380087
1761980066000,1300.3816,732,25.1,0.846173,5517263682
1761980066000,1790.9113,778,25.09,0.84663,5523377996
1761980066000,1774.2743,820,25.3,0.842498,5524053832
1761980066000,2332.4809,854,25.18,0.84272,5522593649
1761980066000,2877.0731,882,25.17,0.84232,5517839817
1761980066000,2322.786,931,25.18,0.842027,5517176262
1761980066000,2929.4833,954,25.3,0.844723,5518000385
1761980066000,4080.8876,1002,25.22,0.841028,5517644034
1761980066000,2804.4759,1038,25.11,0.848535,5518066523
1761980066000,2540.3882,1081,25.22,0.841237,5516624727
1761980066000,2148.745,1116,25.16,0.848676,5516583763
1761980066000,1545.6039,1151,25.1,0.848387,5518391807
1761980066000,996.9493,1181,25.11,0.844284,5516981421
1761980066000,1031.5473,1226,25.38,0.846056,5516153205
1761980066000,1215.5116,1250,25.11,0.847913,5518265040
1761980066000,1142.4458,1299,29.35,0.847182,5517432731
1761980066000,1029.0636,1343,29.26,0.84599,5519284037
1761980066000,963.2512,1382,29.5,0.846637,5520371570
1761980066000,837.1951,1411,29.46,0.846557,5518339198
1761980066000,1760.6626,1455,29.41,0.844351,5516439445
1761980066000,2121.2955,1495,29.29,0.842315,5517379236
1761980066000,1877.4597,1529,29.41,0.846865,5517759352
1761980066000,2045.6062,1564,29.51,0.841112,5516541843
1761980066000,1653.5606,1597,29.6,0.848638,5518030288
1761980066000,1441.0044,1632,29.61,0.843432,5517823054
