algorithm,impl,message_size,trial,elapsed_ns,bytes_hashed,cpu_model,cpu_freq_hz,core,threads,os,compiler,build_flags,timestamp
sha256,openssl,16,0,19000,16,"processor	: 0",750000000,0,1,"Ubuntu 24.04.3 LTS","gcc 13.3.0","",2025-12-05T00:25:11Z
sha256,openssl,16,1,24750,16,"processor	: 0",750000000,0,1,"Ubuntu 24.04.3 LTS","gcc 13.3.0","",2025-12-05T00:25:11Z
sha256,openssl,16,2,19250,16,"processor	: 0",750000000,0,1,"Ubuntu 24.04.3 LTS","gcc 13.3.0","",2025-12-05T00:25:11Z
sha256,openssl,16,3,18750,16,"processor	: 0",750000000,0,1,"Ubuntu 24.04.3 LTS","gcc 13.3.0","",2025-12-05T00:25:11Z
sha256,openssl,16,4,18500,16,"processor	: 0",750000000,0,1,"Ubuntu 24.04.3 LTS","gcc 13.3.0","",2025-12-05T00:25:11Z
sha256,openssl,16,5,18500,16,"processor	: 0",750000000,0,1,"Ubuntu 24.04.3 LTS","gcc 13.3.0","",2025-12-05T00:25:11Z
sha256,openssl,16,6,18500,16,"processor	: 0",750000000,0,1,"Ubuntu 24.04.3 LTS","gcc 13.3.0","",2025-12-05T00:25:11Z
sha256,openssl,16,7,18751,16,"processor	: 0",750000000,0,1,"Ubuntu 24.04.3 LTS","gcc 13.3.0","",2025-12-05T00:25:11Z
sha256,openssl,16,8,18500,16,"processor	: 0",750000000,0,1,"Ubuntu 24.04.3 LTS","gcc 13.3.0","",2025-12-05T00:25:11Z
sha256,openssl,16,9,18750,16,"processor	: 0",750000000,0,1,"Ubuntu 24.04.3 LTS","gcc 13.3.0","",2025-12-05T00:25:11Z
sha256,openssl,16,10,18500,16,"processor	: 0",750000000,0,1,"Ubuntu 24.04.3 LTS","gcc 13.3.0","",2025-12-05T00:25:11Z
sha256,openssl,16,11,18500,16,"processor	: 0",750000000,0,1,"Ubuntu 24.04.3 LTS","gcc 13.3.0","",2025-12-05T00:25:11Z
sha256,openssl,16,12,18500,16,"processor	: 0",750000000,0,1,"Ubuntu 24.04.3 LTS","gcc 13.3.0","",2025-12-05T00:25:11Z
sha256,openssl,16,13,18500,16,"processor	: 0",750000000,0,1,"Ubuntu 24.04.3 LTS","gcc 13.3.0","",2025-12-05T00:25:11Z
sha256,openssl,16,14,18750,16,"processor	: 0",750000000,0,1,"Ubuntu 24.04.3 LTS","gcc 13.3.0","",2025-12-05T00:25:11Z
sha256,openssl,16,15,18500,16,"processor	: 0",750000000,0,1,"Ubuntu 24.04.3 LTS","gcc 13.3.0","",2025-12-05T00:25:11Z
sha256,openssl,16,16,18500,16,"processor	: 0",750000000,0,1,"Ubuntu 24.04.3 LTS","gcc 13.3.0","",2025-12-05T00:25:11Z
sha256,openssl,16,17,18750,16,"processor	: 0",750000000,0,1,"Ubuntu 24.04.3 LTS","gcc 13.3.0","",2025-12-05T00:25:11Z
sha256,openssl,16,18,18500,16,"processor	: 0",750000000,0,1,"Ubuntu 24.04.3 LTS","gcc 13.3.0","",2025-12-05T00:25:11Z
sha256,openssl,16,19,18750,16,"processor	: 0",750000000,0,1,"Ubuntu 24.04.3 LTS","gcc 13.3.0","",2025-12-05T00:25:11Z
sha256,openssl,64,0,20250,64,"processor	: 0",750000000,0,1,"Ubuntu 24.04.3 LTS","gcc 13.3.0","",2025-12-05T00:25:11Z
sha256,openssl,64,1,22500,64,"processor	: 0",750000000,0,1,"Ubuntu 24.04.3 LTS","gcc 13.3.0","",2025-12-05T00:25:11Z
sha256,openssl,64,2,22250,64,"processor	: 0",750000000,0,1,"Ubuntu 24.04.3 LTS","gcc 13.3.0","",2025-12-05T00:25:11Z
sha256,openssl,64,3,22250,64,"processor	: 0",750000000,0,1,"Ubuntu 24.04.3 LTS","gcc 13.3.0","",2025-12-05T00:25:11Z
sha256,openssl,64,4,22250,64,"processor	: 0",750000000,0,1,"Ubuntu 24.04.3 LTS","gcc 13.3.0","",2025-12-05T00:25:11Z
sha256,openssl,64,5,22250,64,"processor	: 0",750000000,0,1,"Ubuntu 24.04.3 LTS","gcc 13.3.0","",2025-12-05T00:25:11Z
sha256,openssl,64,6,22500,64,"processor	: 0",750000000,0,1,"Ubuntu 24.04.3 LTS","gcc 13.3.0","",2025-12-05T00:25:11Z
sha256,openssl,64,7,22250,64,"processor	: 0",750000000,0,1,"Ubuntu 24.04.3 LTS","gcc 13.3.0","",2025-12-05T00:25:11Z
sha256,openssl,64,8,22500,64,"processor	: 0",750000000,0,1,"Ubuntu 24.04.3 LTS","gcc 13.3.0","",2025-12-05T00:25:11Z
sha256,openssl,64,9,22250,64,"processor	: 0",750000000,0,1,"Ubuntu 24.04.3 LTS","gcc 13.3.0","",2025-12-05T00:25:11Z
sha256,openssl,64,10,22500,64,"processor	: 0",750000000,0,1,"Ubuntu 24.04.3 LTS","gcc 13.3.0","",2025-12-05T00:25:11Z
sha256,openssl,64,11,22250,64,"processor	: 0",750000000,0,1,"Ubuntu 24.04.3 LTS","gcc 13.3.0","",2025-12-05T00:25:11Z
sha256,openssl,64,12,22500,64,"processor	: 0",750000000,0,1,"Ubuntu 24.04.3 LTS","gcc 13.3.0","",2025-12-05T00:25:11Z
sha256,openssl,64,13,22250,64,"processor	: 0",750000000,0,1,"Ubuntu 24.04.3 LTS","gcc 13.3.0","",2025-12-05T00:25:11Z
sha256,openssl,64,14,24750,64,"processor	: 0",750000000,0,1,"Ubuntu 24.04.3 LTS","gcc 13.3.0","",2025-12-05T00:25:11Z
sha256,openssl,64,15,22250,64,"processor	: 0",750000000,0,1,"Ubuntu 24.04.3 LTS","gcc 13.3.0","",2025-12-05T00:25:11Z
sha256,openssl,64,16,22250,64,"processor	: 0",750000000,0,1,"Ubuntu 24.04.3 LTS","gcc 13.3.0","",2025-12-05T00:25:11Z
sha256,openssl,64,17,22500,64,"processor	: 0",750000000,0,1,"Ubuntu 24.04.3 LTS","gcc 13.3.0","",2025-12-05T00:25:11Z
sha256,openssl,64,18,22500,64,"processor	: 0",750000000,0,1,"Ubuntu 24.04.3 LTS","gcc 13.3.0","",2025-12-05T00:25:11Z
sha256,openssl,64,19,22250,64,"processor	: 0",750000000,0,1,"Ubuntu 24.04.3 LTS","gcc 13.3.0","",2025-12-05T00:25:11Z
