ts,cpu_percent,total_mem_kb,used_mem_kb,temp_c
ts,cpu_percent,total_mem_kb,used_mem_kb,temp_c
2025-10-31T22:39:49Z,4.2188544,8454815744,2425864192,54.55
2025-10-31T22:39:54Z,4.218669,8454815744,2398470144,54.55
2025-10-31T22:39:59Z,4.218539,8454815744,2390753280,52.9
2025-10-31T22:40:04Z,4.218386,8454815744,2380939264,52.9
2025-10-31T22:40:09Z,4.2182612,8454815744,2374778880,53.45
2025-10-31T22:40:14Z,4.2180753,8454815744,2374336512,52.9
ts,cpu_percent,total_mem_kb,used_mem_kb,temp_c
2025-10-31T22:45:31Z,4.2277045,8454815744,2356690944,52.35
2025-10-31T22:45:36Z,4.2275605,8454815744,2364506112,51.25
2025-10-31T22:45:41Z,4.227351,8454815744,2363064320,51.25
ts,cpu_percent,total_mem_kb,used_mem_kb,temp_c
2025-10-31T23:21:37Z,4.327632,8454815744,2376056832,50.7
ts,cpu_percent,total_mem_kb,used_mem_kb,temp_c
2025-10-31T23:34:08Z,4.37497,8454815744,2472738816,50.15
2025-10-31T23:34:13Z,4.3748064,8454815744,2463416320,50.7
2025-10-31T23:34:18Z,4.3745937,8454815744,2460205056,50.7
2025-10-31T23:34:23Z,4.3743906,8454815744,2457649152,50.7
2025-10-31T23:34:28Z,4.3741755,8454815744,2451914752,50.15
2025-10-31T23:34:33Z,4.3740005,8454815744,2452520960,50.15
2025-10-31T23:34:38Z,4.3738475,8454815744,2451963904,50.15
ts,cpu_percent,total_mem_kb,used_mem_kb,temp_c
2025-10-31T23:46:49Z,4.343357,8454815744,753483776,46.3
2025-10-31T23:46:54Z,4.3431544,8454815744,752631808,45.75
2025-10-31T23:46:59Z,4.343022,8454815744,760463360,45.75
2025-10-31T23:47:04Z,4.3428807,8454815744,757858304,46.3
2025-10-31T23:47:09Z,4.342745,8454815744,755662848,46.3
2025-10-31T23:47:14Z,4.3426065,8454815744,755154944,46.3
2025-10-31T23:47:19Z,4.3424687,8454815744,755482624,45.75
2025-10-31T23:47:24Z,4.3423305,8454815744,755433472,46.85
2025-10-31T23:47:29Z,4.3421755,8454815744,752615424,46.85
ts,cpu_percent,total_mem_kb,used_mem_kb,temp_c
2025-10-31T23:48:52Z,4.3385377,8454815744,744521728,46.85
2025-10-31T23:48:57Z,4.3383555,8454815744,767442944,45.75
2025-10-31T23:49:02Z,4.338159,8454815744,760610816,46.3
2025-10-31T23:49:07Z,4.3379555,8454815744,761298944,46.85
2025-10-31T23:49:12Z,4.337746,8454815744,757317632,46.85
2025-10-31T23:49:17Z,4.337565,8454815744,757448704,46.85
2025-10-31T23:49:22Z,4.33739,8454815744,758120448,47.4
2025-10-31T23:49:27Z,4.337238,8454815744,754352128,46.85
2025-10-31T23:49:32Z,4.3370953,8454815744,752238592,46.85
2025-10-31T23:49:37Z,4.336968,8454815744,752058368,46.85
2025-10-31T23:49:42Z,4.336832,8454815744,752238592,46.85
2025-10-31T23:49:47Z,4.3366966,8454815744,751255552,46.3
2025-10-31T23:49:52Z,4.336558,8454815744,751304704,46.85
2025-10-31T23:49:57Z,4.33642,8454815744,751501312,46.3
2025-10-31T23:50:02Z,4.336251,8454815744,751779840,47.4
2025-10-31T23:50:07Z,4.336189,8454815744,751222784,46.85
2025-10-31T23:50:12Z,4.335974,8454815744,751779840,47.4
2025-10-31T23:50:17Z,4.3357625,8454815744,751943680,46.85
2025-10-31T23:50:22Z,4.3355513,8454815744,751796224,47.4
2025-10-31T23:50:27Z,4.3353477,8454815744,753762304,47.4
2025-10-31T23:50:32Z,4.3351407,8454815744,757547008,47.4
2025-10-31T23:50:37Z,4.334949,8454815744,756252672,46.85
2025-10-31T23:50:42Z,4.3347745,8454815744,755957760,47.4
2025-10-31T23:50:47Z,4.334635,8454815744,756629504,46.85
2025-10-31T23:50:52Z,4.334494,8454815744,756662272,47.4
2025-10-31T23:50:57Z,4.334357,8454815744,751353856,46.85
2025-10-31T23:51:02Z,4.3342166,8454815744,766164992,46.3
2025-10-31T23:51:07Z,4.334077,8454815744,760430592,47.95
2025-10-31T23:51:12Z,4.3339367,8454815744,758595584,47.95
2025-10-31T23:51:17Z,4.333777,8454815744,755826688,46.85
2025-10-31T23:51:22Z,4.3337374,8454815744,755367936,47.95
2025-10-31T23:51:27Z,4.3335285,8454815744,755220480,47.95
2025-10-31T23:51:32Z,4.3333125,8454815744,755957760,46.85
2025-10-31T23:51:37Z,4.3330965,8454815744,756072448,47.95
2025-10-31T23:51:42Z,4.3328876,8454815744,755974144,47.4
2025-10-31T23:51:47Z,4.3326745,8454815744,755793920,47.95
