ts,fps,goodput_mbps,latency_ms_p50,cpu_pct,mem_mb,temp_c,drops,tag_fail
ts,fps,goodput_mbps,latency_ms_p50,cpu_pct,mem_mb,temp_c,drops,tag_fail
2025-10-31T23:34:18Z,13.748558,0.0,526.63742,4.8749495,2279632,56.75,0,0
2025-10-31T23:34:23Z,14.887235,0.0,539.521615,4.8757596,2272560,56.75,0,0
2025-10-31T23:34:28Z,15.083475,0.0,528.477383,4.876814,2272992,55.65,0,0
2025-10-31T23:34:33Z,14.978559,0.0,530.6584519999999,4.877827,2270736,56.75,0,0
2025-10-31T23:34:38Z,15.100089,0.0,529.744476,4.8787174,2266112,58.4,0,0
ts,fps,goodput_mbps,latency_ms_p50,cpu_pct,mem_mb,temp_c,drops,tag_fail
2025-10-31T23:46:59Z,13.739348,0.0,552.542526,4.8641744,1806592,55.65,0,0
2025-10-31T23:47:04Z,14.95418,0.0,524.312587,4.865288,1791040,56.2,0,0
2025-10-31T23:47:09Z,15.061137,0.0,524.354514,4.8661327,1793440,55.65,0,0
2025-10-31T23:47:14Z,14.967989,0.0,526.1317720000001,4.8668785,1789824,55.65,0,0
2025-10-31T23:47:19Z,15.036185,0.0,545.059088,4.8677344,1783856,57.3,0,0
2025-10-31T23:47:24Z,14.996476,0.0,525.391657,4.8686895,1788912,57.3,0,0
2025-10-31T23:47:29Z,14.952345,0.0,524.43246,4.870082,1790736,57.85,0,0
ts,fps,goodput_mbps,latency_ms_p50,cpu_pct,mem_mb,temp_c,drops,tag_fail
2025-10-31T23:49:00Z,13.77236,0.0,586.998159,4.8633194,1749824,56.75,0,0
2025-10-31T23:49:05Z,15.023284,0.0,527.567951,4.8642244,1749696,57.3,0,0
2025-10-31T23:49:10Z,14.951741,0.0,523.90097,4.865238,1748240,57.3,0,0
2025-10-31T23:49:15Z,14.963805,0.0,535.831185,4.866135,1746880,56.75,0,0
2025-10-31T23:49:20Z,15.044906,0.0,525.992626,4.866971,1743760,57.85,0,0
2025-10-31T23:49:25Z,15.067972,0.0,522.342069,4.867613,1745360,58.4,0,0
2025-10-31T23:49:30Z,14.998603,0.0,528.293363,4.8686934,1744992,57.3,0,0
2025-10-31T23:49:35Z,14.966667,0.0,537.112702,4.869628,1744336,58.95,0,0
2025-10-31T23:49:40Z,14.992955,0.0,531.774338,4.870514,1745024,58.4,0,0
2025-10-31T23:49:45Z,14.931738,0.0,529.133951,4.871427,1743200,59.5,0,0
2025-10-31T23:49:50Z,15.063156,0.0,549.623518,4.872583,1748240,58.95,0,0
2025-10-31T23:49:55Z,15.031021,0.0,522.82049,4.873514,1747104,58.4,0,0
2025-10-31T23:50:00Z,14.769997,0.0,525.235331,4.874327,1746080,58.4,0,0
2025-10-31T23:50:05Z,15.19473,0.0,538.737596,4.875063,1746128,58.4,0,0
2025-10-31T23:50:10Z,14.987009,0.0,543.238758,4.876037,1744720,59.5,0,0
2025-10-31T23:50:15Z,14.947358,0.0,528.2759609999999,4.876935,1750064,58.95,0,0
2025-10-31T23:50:20Z,15.095879,0.0,535.736553,4.877715,1745728,59.5,0,0
2025-10-31T23:50:25Z,14.996674,0.0,532.715958,4.8786993,1742064,58.4,0,0
2025-10-31T23:50:30Z,14.982576,0.0,540.626425,4.8797092,1742384,58.95,0,0
2025-10-31T23:50:35Z,15.033392,0.0,528.1448250000001,4.880708,1744352,57.85,0,0
2025-10-31T23:50:40Z,14.480139,0.0,535.277954,4.881519,1743056,58.95,0,0
2025-10-31T23:50:45Z,15.535678,0.0,543.6932439999999,4.8825574,1742704,58.4,0,0
2025-10-31T23:50:50Z,14.970043,0.0,529.0215059999999,4.8835206,1743856,59.5,0,0
2025-10-31T23:50:55Z,15.017807,0.0,537.137646,4.884511,1741424,58.95,0,0
2025-10-31T23:51:00Z,15.003443,0.0,553.511579,4.8855486,1749360,59.5,0,0
2025-10-31T23:51:05Z,14.989281,0.0,527.037679,4.886296,1746384,59.5,0,0
2025-10-31T23:51:11Z,14.957589,0.0,536.426555,4.887233,1741760,59.5,0,0
2025-10-31T23:51:16Z,15.043631,0.0,529.2325519999999,4.8883324,1741920,59.5,0,0
2025-10-31T23:51:21Z,14.982071,0.0,526.485678,4.8893747,1747952,58.4,0,0
2025-10-31T23:51:26Z,15.048004,0.0,533.101557,4.890337,1745072,57.3,0,0
2025-10-31T23:51:31Z,14.964708,0.0,525.178819,4.891051,1746128,57.85,0,0
2025-10-31T23:51:36Z,15.017394,0.0,527.446225,4.8921113,1750064,57.85,0,0
2025-10-31T23:51:41Z,14.961362,0.0,529.6606449999999,4.8931375,1746544,58.95,0,0
2025-10-31T23:51:46Z,15.010663,0.0,528.20809,4.8942575,1746896,58.95,0,0
