ts,cpu_percent,total_mem_kb,used_mem_kb,temp_c
ts,cpu_percent,total_mem_kb,used_mem_kb,temp_c
2025-11-01T01:49:49Z,4.772266,8450605056,2216460288,54.0
2025-11-01T01:49:54Z,4.7739677,8450605056,2230190080,56.2
2025-11-01T01:49:59Z,4.7749305,8450605056,2230648832,54.55
2025-11-01T01:50:04Z,4.775979,8450605056,2223276032,57.3
2025-11-01T01:50:09Z,4.7770176,8450605056,2223931392,56.75
2025-11-01T01:50:14Z,4.778019,8450605056,2222751744,57.3
ts,cpu_percent,total_mem_kb,used_mem_kb,temp_c
2025-11-01T01:50:29Z,4.778424,8450605056,2219180032,56.2
2025-11-01T01:50:34Z,4.7804737,8450605056,2242920448,57.85
2025-11-01T01:50:39Z,4.7814465,8450605056,2229403648,58.4
2025-11-01T01:50:44Z,4.7825193,8450605056,2227732480,57.3
2025-11-01T01:50:49Z,4.7832766,8450605056,2222522368,58.95
2025-11-01T01:50:54Z,4.784025,8450605056,2219458560,57.85
2025-11-01T01:50:59Z,4.7850657,8450605056,2222555136,57.3
2025-11-01T01:51:04Z,4.786215,8450605056,2226307072,59.5
2025-11-01T01:51:09Z,4.7873216,8450605056,2227650560,59.5
2025-11-01T01:51:14Z,4.788372,8450605056,2222997504,59.5
2025-11-01T01:51:19Z,4.7893295,8450605056,2224553984,59.5
2025-11-01T01:51:24Z,4.7902827,8450605056,2222620672,60.05
2025-11-01T01:51:29Z,4.7912145,8450605056,2223374336,58.4
2025-11-01T01:51:34Z,4.7919846,8450605056,2223177728,58.95
2025-11-01T01:51:39Z,4.793013,8450605056,2225750016,58.95
2025-11-01T01:51:44Z,4.7941694,8450605056,2126495744,59.5
2025-11-01T01:51:49Z,4.7952037,8450605056,2128248832,58.4
2025-11-01T01:51:54Z,4.7960076,8450605056,2123300864,58.4
2025-11-01T01:51:59Z,4.7968583,8450605056,2120826880,58.95
2025-11-01T01:52:04Z,4.7977324,8450605056,2122842112,60.05
2025-11-01T01:52:09Z,4.7985916,8450605056,2121465856,58.95
2025-11-01T01:52:14Z,4.799642,8450605056,2122366976,58.4
2025-11-01T01:52:19Z,4.8005376,8450605056,2120663040,58.95
2025-11-01T01:52:24Z,4.8016353,8450605056,2123202560,59.5
2025-11-01T01:52:29Z,4.8027487,8450605056,2120040448,58.4
2025-11-01T01:52:34Z,4.803822,8450605056,2122842112,58.95
2025-11-01T01:52:39Z,4.804769,8450605056,2122383360,59.5
2025-11-01T01:52:44Z,4.80606,8450605056,2121416704,60.05
2025-11-01T01:52:49Z,4.8068886,8450605056,2125971456,59.5
2025-11-01T01:52:54Z,4.8080106,8450605056,2125037568,58.4
2025-11-01T01:52:59Z,4.808873,8450605056,2125152256,58.95
2025-11-01T01:53:04Z,4.809944,8450605056,2123923456,58.4
